logFC	logCPM	PValue	FDR
YDL214C	4.19410745747424	4.95061263968629	2.09393006657774e-10	5.38967859927499e-09
YGR146C	4.11192625076835	4.71479560739016	2.13700017631353e-10	5.47507359986994e-09
YGL121C	3.69262292747546	4.75728061318607	2.40626156605781e-10	6.13652143159628e-09
YKL016C	2.02178148367633	8.56258712297955	2.89649633816371e-10	7.32535166742716e-09
YMR107W	7.45456960460909	6.07355413793832	2.89890136459441e-10	7.32535166742716e-09
YGR244C	2.21829663017586	9.38093399370692	2.93078831600341e-10	7.37226479125586e-09
YHL035C	2.35122216201527	7.39656242629979	3.27091068888396e-10	8.19059717297911e-09
YKL148C	2.75166999689305	10.1895624406418	3.51694534907472e-10	8.7670160188196e-09
YKL085W	2.23661702571295	9.93875579941731	3.75293155603719e-10	9.31332880318825e-09
YFL052W	4.09798763870892	4.26074581546966	3.93406645404254e-10	9.71925167708546e-09
YNL117W	5.86868444972657	8.2465130786888	4.10855210805562e-10	1.01052121626577e-08
YML128C	3.31348326623884	9.03657160725073	4.20083157381982e-10	1.02864610307606e-08
YNL202W	4.04593345620702	6.24834842652093	5.01484387744624e-10	1.22256149858095e-08
YLR364W	-2.80064779232154	4.44542519237466	5.19755000425849e-10	1.25643702113272e-08
YHR112C	-1.89110634354647	6.6148008815777	5.21075433451806e-10	1.25643702113272e-08
YOR203W	-2.87974806723526	4.52183859112282	5.22191027937343e-10	1.25643702113272e-08
YIL125W	2.65958109910876	9.24680650750338	5.74651322534641e-10	1.37667550602022e-08
YFR049W	1.86474921980455	6.67314926934185	7.33666711478844e-10	1.75004809539824e-08
YKL150W	2.23978548302619	9.43690129003883	8.26715827324543e-10	1.96353879331074e-08
YGR043C	5.13683125396895	5.44828549822278	8.424564792605e-10	1.99237357103744e-08
YEL057C	6.76954272488661	2.9178972848789	8.53373944365719e-10	2.0096048545191e-08
YHL016C	-2.61382536602002	5.36291610714045	9.1909250928356e-10	2.15519404507425e-08
YCR010C	8.74092785503613	8.57329476775171	9.44249775131229e-10	2.20484314581275e-08
YOL020W	2.30017022436447	6.97398967423162	1.22448720015744e-09	2.84718998557616e-08
YML116W	-1.85379680477018	6.30118548514427	1.25811544170692e-09	2.91314261690631e-08
YNL015W	2.30531384057616	7.68288339700772	1.35308950115856e-09	3.11999887475479e-08
YIL119C	-2.6154319823519	5.45599603624349	1.39457972085792e-09	3.20232538391192e-08
YJL089W	4.78221121406537	4.76728082267011	1.46593665149348e-09	3.35227001213426e-08
YOR128C	-2.09846972595192	8.19640759771242	1.60491529738434e-09	3.65497994062756e-08
YDR158W	-2.06749089257328	10.3846913179299	1.66632797991191e-09	3.77928649214446e-08
YPL109C	2.14030985679237	5.50072699085631	1.78990674300343e-09	4.0429975166453e-08
YLR062C	-7.41894615331277	1.91494240736052	1.86336831503183e-09	4.19182124202689e-08
YDR178W	2.49484015522749	9.69460942663375	1.94272562143482e-09	4.35264922632402e-08
YDR533C	-2.98393662321695	7.28809789522643	2.00730747817335e-09	4.47920950976263e-08
YJR009C	-2.08654303752569	10.5090812332167	2.57030039367037e-09	5.71246681870354e-08
YLR267W	4.29167039976501	5.04875563866024	2.62851314077427e-09	5.81847668841791e-08
YBR054W	4.12704440230195	6.9824416744978	2.78258794343695e-09	6.13499668485263e-08
YNR034W-A	4.27457354169845	5.97399849201265	2.83592631807589e-09	6.22778422390158e-08
YOR065W	2.05968241208987	8.97043414659605	3.14666355204968e-09	6.88286011740828e-08
YIL111W	-2.2673371027026	5.65946358796032	3.25912083095778e-09	7.10077743248833e-08
YDR270W	1.94000332317256	6.8044307359322	3.38375186979882e-09	7.34340503822223e-08
YBR222C	2.47526940887992	9.04803840317951	3.41588300649259e-09	7.38417834294141e-08
YDR342C	5.96384002542438	5.74572890580596	3.4813915340321e-09	7.49650612814539e-08
YPL262W	2.21850041226968	9.97173109856187	3.55426500705996e-09	7.62376067793403e-08
YHR179W	-1.99532256181718	7.76469456284311	4.11045581613647e-09	8.78272682876418e-08
YDL174C	2.30898160570803	9.52471035152923	4.29345040892933e-09	9.13844406269804e-08
